user_version
------------
4           
track_count
-----------
0          
eventType                  deliveryState  occurredAtEpochMillis
-------------------------  -------------  ---------------------
RUNTIME_STARTED            PENDING        1785312581669        
RUNTIME_STARTED            PENDING        1785312257537        
RUNTIME_STARTED            PENDING        1785311461244        
RUNTIME_STARTED            PENDING        1785311383755        
PHOTO_CAPTURE_FAILED       PENDING        1785310332654        
SIMULATED_KEY_PHOTO_SHORT  PENDING        1785310332597        
RUNTIME_STARTED            PENDING        1785310327654        
SIMULATED_KEY_PHOTO_SHORT  PENDING        1785310188819        
